SegID,WMGMid,NeuroanatomicalRegion
4,Ventricle,Ventricle
11,Ventricle,Ventricle
23,GM,Subcortex
30,GM,Subcortex
31,GM,Subcortex
32,GM,Subcortex
35,Both,Subcortex
36,GM,Subcortex
37,GM,Subcortex
38,GM,Cerebellum
39,GM,Cerebellum
40,WM,Cerebellum
41,WM,Cerebellum
44,WM,CerebralWhiteMatter
45,WM,CerebralWhiteMatter
47,GM,Subcortex
48,GM,Subcortex
49,Ventricle,Ventricle
50,Ventricle,Ventricle
51,Ventricle,Ventricle
52,Ventricle,Ventricle
55,GM,Subcortex
56,GM,Subcortex
57,GM,Subcortex
58,GM,Subcortex
59,GM,Subcortex
60,GM,Subcortex
61,GM,Subcortex
62,GM,Subcortex
71,GM,Cerebellum
72,GM,Cerebellum
73,GM,Cerebellum
75,GM,Subcortex
76,GM,Subcortex
100,GM,Frontal
101,GM,Frontal
102,GM,Insula
103,GM,Insula
104,GM,Frontal
105,GM,Frontal
106,GM,Parietal
107,GM,Parietal
108,GM,Occipital
109,GM,Occipital
112,GM,Frontal
113,GM,Frontal
114,GM,Occipital
115,GM,Occipital
116,GM,Subcortex
117,GM,Subcortex
118,GM,Frontal
119,GM,Frontal
120,GM,Frontal
121,GM,Frontal
122,GM,Temporal
123,GM,Temporal
124,GM,Frontal
125,GM,Frontal
128,GM,Occipital
129,GM,Occipital
132,GM,Temporal
133,GM,Temporal
134,GM,Occipital
135,GM,Occipital
136,GM,Frontal
137,GM,Frontal
138,GM,Frontal
139,GM,Frontal
140,GM,Frontal
141,GM,Frontal
142,GM,Frontal
143,GM,Frontal
144,GM,Occipital
145,GM,Occipital
146,GM,Frontal
147,GM,Frontal
148,GM,Parietal
149,GM,Parietal
150,GM,Frontal
151,GM,Frontal
152,GM,Frontal
153,GM,Frontal
154,GM,Temporal
155,GM,Temporal
156,GM,Occipital
157,GM,Occipital
160,GM,Occipital
161,GM,Occipital
162,GM,Frontal
163,GM,Frontal
164,GM,Frontal
165,GM,Frontal
166,GM,Frontal
167,GM,Frontal
168,GM,Parietal
169,GM,Parietal
170,GM,Temporal
171,GM,Temporal
172,GM,Insula
173,GM,Insula
174,GM,Parietal
175,GM,Parietal
176,GM,Parietal
177,GM,Parietal
178,GM,Frontal
179,GM,Frontal
180,GM,Temporal
181,GM,Temporal
182,GM,Frontal
183,GM,Frontal
184,GM,Temporal
185,GM,Temporal
186,GM,Subcortex
187,GM,Subcortex
190,GM,Frontal
191,GM,Frontal
192,GM,Frontal
193,GM,Frontal
194,GM,Parietal
195,GM,Parietal
196,GM,Occipital
197,GM,Occipital
198,GM,Parietal
199,GM,Parietal
200,GM,Temporal
201,GM,Temporal
202,GM,Temporal
203,GM,Temporal
204,GM,Frontal
205,GM,Frontal
206,GM,Temporal
207,GM,Temporal
